[rosmaster.main][INFO] 2026-04-09 01:45:37,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:45:37,337: Starting ROS Master Node
[rosmaster.master][INFO] 2026-04-09 01:46:01,212: +SERVICE [/mctrack_online_node/get_loggers] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,212: +SERVICE [/mctrack_online_node/set_logger_level] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,234: +PUB [/mctrack/markers] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,234: +PUB [/mctrack/tracked_objects] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,235: +SUB [/mctrack/lidar_pose] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,235: +SUB [/detection/lidar_detections] /mctrack_online_node http://z790m:39043/
[rosmaster.master][INFO] 2026-04-09 01:46:01,235: +CACHEDPARAM [/rosout_disable_topics_generation] by /mctrack_online_node
[rosmaster.master][INFO] 2026-04-09 01:46:01,271: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/']
[rosmaster.master][INFO] 2026-04-09 01:46:01,273: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:01,273: publisherUpdate[/mctrack/markers] -> http://z790m:41389/ ['http://z790m:39043/']
[rosmaster.master][INFO] 2026-04-09 01:46:01,275: publisherUpdate[/mctrack/markers] -> http://z790m:41389/ ['http://z790m:39043/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,576: +PARAM [/roslaunch/uris/host_z790m__33765] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/common/lid_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/common/imu_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/common/time_sync_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/common/time_offset_lidar_to_imu] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/lidar_type] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/scan_line] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/scan_rate] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/timestamp_unit] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/blind] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/acc_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/gyr_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/b_acc_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/b_gyr_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/fov_degree] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/det_range] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/extrinsic_est_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/extrinsic_T] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/mapping/extrinsic_R] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/publish/path_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/publish/scan_publish_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/publish/dense_publish_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/publish/scan_bodyframe_pub_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/pcd_save/pcd_save_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/pcd_save/interval] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/feature_extract_enable] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/point_filter_num] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/max_iteration] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/filter_size_surf] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/filter_size_map] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/cube_side_length] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/runtime_pos_log_enable] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/use_dynamic_weights] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/tracked_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/dynamic_speed_ref] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,577: +PARAM [/preprocess/dynamic_acc_ref] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_speed_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_acc_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_score_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_min_weight] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_bbox_margin_xy] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_bbox_margin_z] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,578: +PARAM [/preprocess/dynamic_min_track_length] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:46:03,683: +PUB [/rosout] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,683: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,684: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,684: +SUB [/clock] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,684: +SERVICE [/fastlio_pose_bridge/get_loggers] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,685: +SERVICE [/fastlio_pose_bridge/set_logger_level] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,685: +PUB [/mctrack/lidar_pose] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,686: +PUB [/tf] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,686: +SUB [/Odometry_imu_predicted] /fastlio_pose_bridge http://z790m:34901/
[rosmaster.master][INFO] 2026-04-09 01:46:03,686: +CACHEDPARAM [/rosout_disable_topics_generation] by /fastlio_pose_bridge
[rosmaster.master][INFO] 2026-04-09 01:46:03,750: +PUB [/rosout] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,751: +SERVICE [/laserMapping/get_loggers] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,751: +SERVICE [/laserMapping/set_logger_level] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,751: +SUB [/clock] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,758: +SUB [/detection/pointcloud] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,759: +SUB [/detection/imu] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,759: +SUB [/mctrack/tracked_objects] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/cloud_registered] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/cloud_registered_body] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/cloud_effected] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/Laser_map] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/Odometry] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,760: +PUB [/Odometry_imu_predicted] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,761: +PUB [/path] /laserMapping http://z790m:36927/
[rosmaster.master][INFO] 2026-04-09 01:46:03,779: publisherUpdate[/mctrack/lidar_pose] -> http://z790m:39043/ ['http://z790m:34901/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,779: publisherUpdate[/tf] -> http://z790m:41389/ ['http://z790m:34901/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,781: publisherUpdate[/tf] -> http://z790m:41389/ ['http://z790m:34901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,782: publisherUpdate[/mctrack/lidar_pose] -> http://z790m:39043/ ['http://z790m:34901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,782: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/', 'http://z790m:36927/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,782: publisherUpdate[/cloud_registered] -> http://z790m:41389/ ['http://z790m:36927/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,783: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/', 'http://z790m:36927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,783: publisherUpdate[/Odometry_imu_predicted] -> http://z790m:34901/ ['http://z790m:36927/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,785: publisherUpdate[/cloud_registered] -> http://z790m:41389/ ['http://z790m:36927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,785: publisherUpdate[/Odometry_imu_predicted] -> http://z790m:34901/ ['http://z790m:36927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,786: publisherUpdate[/Odometry] -> http://z790m:41389/ ['http://z790m:36927/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,787: publisherUpdate[/Odometry] -> http://z790m:41389/ ['http://z790m:36927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:03,788: publisherUpdate[/path] -> http://z790m:41389/ ['http://z790m:36927/']
[rosmaster.master][INFO] 2026-04-09 01:46:03,789: publisherUpdate[/path] -> http://z790m:41389/ ['http://z790m:36927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:08,343: +PARAM [/use_sim_time] by /rosparam-13727
[rosmaster.master][INFO] 2026-04-09 01:46:08,555: +PUB [/rosout] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,556: +SERVICE [/play_1775670368554595562/get_loggers] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,556: +SERVICE [/play_1775670368554595562/set_logger_level] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,557: +SUB [/clock] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,557: +PUB [/clock] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,557: +SERVICE [/play_1775670368554595562/pause_playback] /play_1775670368554595562 http://z790m:33633/
[rosmaster.master][INFO] 2026-04-09 01:46:08,557: +CACHEDPARAM [/rosout_disable_topics_generation] by /play_1775670368554595562
[rosmaster.master][INFO] 2026-04-09 01:46:08,594: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/', 'http://z790m:36927/', 'http://z790m:33633/']
[rosmaster.master][INFO] 2026-04-09 01:46:08,595: publisherUpdate[/clock] -> http://z790m:34901/ ['http://z790m:33633/']
[rosmaster.master][INFO] 2026-04-09 01:46:08,597: publisherUpdate[/clock] -> http://z790m:34901/ ['http://z790m:33633/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:08,597: publisherUpdate[/rosout] -> http://z790m:46415/ ['http://z790m:41389/', 'http://z790m:35549/', 'http://z790m:36507/', 'http://z790m:39043/', 'http://z790m:34901/', 'http://z790m:36927/', 'http://z790m:33633/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:46:08,597: publisherUpdate[/clock] -> http://z790m:36927/ ['http://z790m:33633/']
[rosmaster.master][INFO] 2026-04-09 01:46:08,598: publisherUpdate[/clock] -> http://z790m:33633/ ['http://z790m:33633/']
