[rosmaster.main][INFO] 2026-04-09 01:49:09,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:49:09,789: Starting ROS Master Node
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:20,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kitti_pointpillars_bag_detector_17431_1775670560075
[rosmaster.master][INFO] 2026-04-09 01:49:21,008: publisherUpdate[/detection/bboxes_3d] -> http://z790m:41003/ ['http://z790m:38931/']
[rosmaster.master][INFO] 2026-04-09 01:49:21,011: publisherUpdate[/detection/bboxes_3d] -> http://z790m:41003/ ['http://z790m:38931/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:21,011: publisherUpdate[/detection/pointcloud] -> http://z790m:41003/ ['http://z790m:38931/']
[rosmaster.master][INFO] 2026-04-09 01:49:21,012: publisherUpdate[/detection/pointcloud] -> http://z790m:41003/ ['http://z790m:38931/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:33,666: +PARAM [/mctrack_online_node/config] by /mctrack_online_node
[rosmaster.master][INFO] 2026-04-09 01:49:33,667: +PUB [/rosout] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,667: +SERVICE [/mctrack_online_node/get_loggers] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,668: +SERVICE [/mctrack_online_node/set_logger_level] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,679: +PUB [/mctrack/markers] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,679: +PUB [/mctrack/tracked_objects] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,680: +SUB [/mctrack/lidar_pose] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,680: +SUB [/detection/lidar_detections] /mctrack_online_node http://z790m:45155/
[rosmaster.master][INFO] 2026-04-09 01:49:33,680: +CACHEDPARAM [/rosout_disable_topics_generation] by /mctrack_online_node
[rosmaster.master][INFO] 2026-04-09 01:49:33,730: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/']
[rosmaster.master][INFO] 2026-04-09 01:49:33,732: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:33,732: publisherUpdate[/mctrack/markers] -> http://z790m:41003/ ['http://z790m:45155/']
[rosmaster.master][INFO] 2026-04-09 01:49:33,735: publisherUpdate[/mctrack/markers] -> http://z790m:41003/ ['http://z790m:45155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,057: +PARAM [/roslaunch/uris/host_z790m__36433] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/common/lid_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/common/imu_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/common/time_sync_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/common/time_offset_lidar_to_imu] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/preprocess/lidar_type] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/preprocess/scan_line] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/preprocess/scan_rate] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,058: +PARAM [/preprocess/timestamp_unit] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/blind] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/acc_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/gyr_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/b_acc_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/b_gyr_cov] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/fov_degree] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/det_range] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/extrinsic_est_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/extrinsic_T] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/mapping/extrinsic_R] by /roslaunch
